source_location,exact_source_field,serving_path,requirement,visibility,processing_rule,error_behavior,notes
CS TU public faculty profile / Header,English faculty name: Asst.Prof.Dr. Prapaporn Rattanatamrong,id,Required,PUBLIC,Generate stable URL-safe slug from confirmed English name -> prapaporn-rattanatamrong,Hold + report if a stable identifier cannot be generated,No standalone faculty code was supplied in this source sample; team should freeze this derived-ID rule for V1.
CS TU public faculty profile / Header,ผศ.ดร.ประภาพร รัตนธำรง,name.th,Conditional Required,PUBLIC,Trim whitespace; preserve title and spelling,Hold if both Thai and English display names are missing,Actual public faculty name from source.
CS TU public faculty profile / Header,Asst.Prof.Dr. Prapaporn Rattanatamrong,name.en,Conditional Required,PUBLIC,Trim whitespace; preserve title and spelling,Hold if both Thai and English display names are missing,Actual public faculty name from source.
CS TU public faculty profile / Header,Title embedded in faculty names: ผศ. / Asst.Prof.,academic_position,Optional,PUBLIC,Derive only from confirmed title prefix -> ผู้ช่วยศาสตราจารย์ / Assistant Professor,Omit if title cannot be determined unambiguously,Derived because no separate academic-position field was supplied.
CS TU public faculty profile / Header,Profile image,profile_image.url,Optional,PUBLIC,Validate HTTPS URL; preserve source URL,Omit + report broken/invalid URL,https://cs.sci.tu.ac.th/wp-content/uploads/2020/05/Picture30.jpg
CS TU public faculty profile / Header,All_Badges,badges[],Optional,PUBLIC,Validate HTTPS URL; map as public badge asset,Omit + report broken/invalid URL,https://cs.sci.tu.ac.th/wp-content/uploads/2022/07/All_Badges.png
CS TU public faculty profile / Curriculum Vitae (CV),CV URL,cv.url,Optional,PUBLIC,Validate URL; preserve source URL,Omit + report broken/invalid URL,https://drive.google.com/file/d/1V1rWtmEoxpTbxBZMehGL05X8vqH5b_lO/view
CS TU public faculty profile / Contact Information,อาคาร LC-2 ชั้น 2 ห้อง 210,contact.office,Optional,PUBLIC,Trim whitespace; preserve combined building/floor/room text,Omit,Do not split unless the V1 contract later defines separate building/floor/room fields.
CS TU public faculty profile / Contact Information,0-2986-9256 ต่อ 225,contact.phone,Optional,PUBLIC,Parse confirmed 'ต่อ' delimiter; phone -> 0-2986-9256,Omit + report malformed value,Preserve original source value for traceability.
CS TU public faculty profile / Contact Information,0-2986-9256 ต่อ 225,contact.extension,Optional,PUBLIC,Parse confirmed 'ต่อ' delimiter; extension -> 225,Omit if extension is absent,Explicitly present in the source value.
CS TU public faculty profile / Contact Information,rattanat@tu.ac.th,contact.email,Optional,PUBLIC,Trim whitespace; lowercase domain; validate email format,Omit + report invalid email,Public contact email shown in source.
CS TU public faculty profile / Education,การศึกษา (EDUCATION),education[],Optional,PUBLIC,"Create one record per listed education entry; preserve degree, field, institution, country and year as supplied",[]; report malformed individual entry,3 entries: Ph.D. University of Florida (2554); M.Sc. USC (2547); วศ.บ. ม.เกษตรศาสตร์ (2544).
CS TU public faculty profile / Research Interest,หัวข้อวิจัยที่สนใจ (RESEARCH INTEREST),research_interests[],Optional,PUBLIC,One list item per source bullet; trim; exact-deduplicate only,[],6 items: Distributed Systems and Middleware; Cloud and Edge Computing; Big Data Engineering; Digital Twins; Data-Driven Decision Support Systems; Real-Time Scheduling.
CS TU public faculty profile / Expertise,รายละเอียดความเชี่ยวชาญ (EXPERTISE),expertise[],Optional,PUBLIC,One list item per source bullet; formatting normalization only; no semantic rewrite,[],3 expertise descriptions supplied.
CS TU public faculty profile / Selected Publication,ผลงานเด่น (SELECTED PUBLICATION),selected_publications[],Optional,PUBLIC,Create one publication record per source bullet; preserve citation meaning; extract DOI only when explicitly present; dedupe by DOI first,[]; report malformed individual publication,7 selected publication records supplied; all include DOI text.
CS TU public faculty profile / All Publications,Google Scholar Profile,publication_profiles[],Optional,PUBLIC,Validate URL; map provider='google_scholar',Omit + report invalid URL,https://scholar.google.com/citations?user=91z1Tv8AAAAJ&hl=en
CS TU public faculty profile / All Publications,ResearchGate Profile,publication_profiles[],Optional,PUBLIC,Validate URL; map provider='researchgate',Omit + report invalid URL,https://www.researchgate.net/profile/Prapaporn-Rattanatamrong
